,Party_Id,Mean_Business,Median_Business,Total_Business,Mean_Days,Median_Days,Mean_Ship_Delay,Median_Ship_Delay,Mean_Initial_Delay,Median_Initial_Delay,Total_Transactions
0,101789,84.78,84.78,84.78,6.0,6.0,4.0,4.0,2.0,2.0,1
1,103789,50.4866666667,30.98,151.46,8.66666666667,7.0,7.33333333333,6.0,1.33333333333,1.0,3
2,114789,32.3925,31.42,129.57,7.25,7.0,4.75,4.5,2.5,2.5,4
3,121699,60.2342857143,59.46,421.64,6.85714285714,6.0,4.42857142857,4.0,2.42857142857,2.0,7
4,128789,209.88,209.88,209.88,6.0,6.0,5.0,5.0,1.0,1.0,1
5,130699,169.76,169.76,169.76,,,,,4.0,4.0,1
6,142699,31.85,31.85,31.85,4.0,4.0,2.0,2.0,2.0,2.0,1
7,143789,46.6189655172,41.17,1351.95,4.75,,2.32142857143,,4.10344827586,2.0,29
8,144699,52.6061111111,50.415,946.91,5.70588235294,,3.58823529412,,2.05555555556,2.0,18
9,145789,49.3570833333,41.735,1184.57,6.18181818182,,4.22727272727,,2.04166666667,2.0,24
10,173789,74.86,74.86,74.86,4.0,4.0,2.0,2.0,2.0,2.0,1
11,180699,56.52,56.52,56.52,4.0,4.0,3.0,3.0,1.0,1.0,1
12,202789,37.61,37.61,37.61,7.0,7.0,5.0,5.0,2.0,2.0,1
13,214789,42.2683333333,32.56,760.83,9.72222222222,5.0,3.44444444444,3.0,6.27777777778,2.0,18
14,220699,47.46,47.46,94.92,6.0,6.0,5.0,5.0,1.0,1.0,2
15,224699,65.2666666667,59.48,195.8,5.0,4.0,3.66666666667,3.0,1.33333333333,1.0,3
16,243789,74.8628571429,75.56,524.04,5.57142857143,5.0,2.0,2.0,3.57142857143,3.0,7
17,257789,112.8,112.8,112.8,23.0,23.0,4.0,4.0,19.0,19.0,1
18,260699,51.0257894737,46.8,969.49,5.41176470588,,3.47058823529,,1.84210526316,2.0,19
19,269789,40.0,24.95,200.0,5.0,5.0,3.4,4.0,1.6,2.0,5
